code_state;epidemiological_week;growth_factor
35.0;10.0;5.5
35.0;11.0;4.73
35.0;12.0;6.37
35.0;13.0;3.05
35.0;14.0;3.03
35.0;15.0;1.29
35.0;16.0;1.39
35.0;17.0;1.12
35.0;18.0;1.83
35.0;19.0;1.19
35.0;20.0;1.27
35.0;21.0;1.16
35.0;22.0;1.37
35.0;23.0;1.26
35.0;24.0;0.97
35.0;25.0;1.33
35.0;26.0;1.16
35.0;27.0;0.94
35.0;28.0;1.16
35.0;29.0;0.83
35.0;30.0;1.49
35.0;31.0;1.08
35.0;32.0;0.95
32.0;11.0;3.0
32.0;12.0;7.33
32.0;13.0;1.59
32.0;14.0;3.0
32.0;15.0;2.07
32.0;16.0;3.3
32.0;17.0;0.85
32.0;18.0;2.28
32.0;19.0;0.94
32.0;20.0;1.67
32.0;21.0;1.52
32.0;22.0;1.06
32.0;23.0;1.57
32.0;24.0;1.28
32.0;25.0;1.17
32.0;26.0;0.9
32.0;27.0;1.51
32.0;28.0;0.86
32.0;29.0;0.81
32.0;30.0;0.84
32.0;31.0;1.12
32.0;32.0;1.02
33.0;11.0;6.5
33.0;12.0;8.0
33.0;13.0;4.22
33.0;14.0;1.57
33.0;15.0;1.98
33.0;16.0;1.42
33.0;17.0;1.18
33.0;18.0;1.63
33.0;19.0;1.72
33.0;20.0;0.73
33.0;21.0;2.77
33.0;22.0;1.38
33.0;23.0;0.68
33.0;24.0;1.18
33.0;25.0;1.17
33.0;26.0;0.79
33.0;27.0;0.88
33.0;28.0;0.8
33.0;29.0;0.6
33.0;30.0;3.79
33.0;31.0;0.52
33.0;32.0;1.04
29.0;11.0;2.5
29.0;12.0;6.8
29.0;13.0;2.53
29.0;14.0;2.43
29.0;15.0;1.45
29.0;16.0;1.84
29.0;17.0;1.64
29.0;18.0;1.31
29.0;19.0;1.55
29.0;20.0;1.69
29.0;21.0;1.49
29.0;22.0;0.99
29.0;23.0;2.11
29.0;24.0;0.86
29.0;25.0;1.13
29.0;26.0;2.1
29.0;27.0;1.02
