city_ibge_code;epidemiological_week;growth_factor
3550308.0;10.0;5.0
3550308.0;11.0;5.0
3550308.0;12.0;4.88
3550308.0;13.0;3.02
3550308.0;14.0;3.32
3550308.0;15.0;1.07
3550308.0;16.0;1.25
3550308.0;17.0;1.11
3550308.0;18.0;1.74
3550308.0;19.0;1.14
3550308.0;20.0;1.18
3550308.0;21.0;1.09
3550308.0;22.0;1.45
3550308.0;23.0;1.11
3550308.0;24.0;0.93
3550308.0;25.0;1.24
3550308.0;26.0;0.98
3550308.0;27.0;0.87
3550308.0;28.0;0.91
3550308.0;29.0;1.01
3550308.0;30.0;1.02
3550308.0;31.0;1.47
3550308.0;32.0;0.67
3300407.0;11.0;0.0
3300407.0;15.0;4.0
3300407.0;16.0;0.38
3300407.0;17.0;2.0
3300407.0;18.0;2.33
3300407.0;19.0;2.57
3300407.0;20.0;0.5
3300407.0;21.0;2.0
3300407.0;22.0;1.53
3300407.0;23.0;0.49
3300407.0;24.0;2.74
3300407.0;25.0;0.31
3300407.0;26.0;5.78
3300407.0;27.0;0.98
3300407.0;28.0;0.73
3300407.0;29.0;0.73
3300407.0;30.0;0.4
3300407.0;31.0;4.18
3300407.0;32.0;1.5
2910800.0;11.0;1.0
2910800.0;12.0;1.0
2910800.0;13.0;1.5
2910800.0;14.0;4.67
2910800.0;15.0;1.71
2910800.0;16.0;0.29
2910800.0;17.0;1.71
2910800.0;18.0;1.83
2910800.0;19.0;1.09
2910800.0;20.0;3.46
2910800.0;21.0;1.4
2910800.0;22.0;1.19
2910800.0;23.0;2.33
2910800.0;24.0;0.69
2910800.0;25.0;1.34
2910800.0;26.0;5.51
2910800.0;27.0;0.69
2910800.0;28.0;0.74
2910800.0;29.0;0.84
2910800.0;30.0;1.97
2910800.0;31.0;0.75
2910800.0;32.0;0.86
3304557.0;11.0;12.0
3304557.0;12.0;7.17
3304557.0;13.0;4.53
3304557.0;14.0;1.26
3304557.0;15.0;1.87
3304557.0;16.0;1.25
3304557.0;17.0;1.23
3304557.0;18.0;1.38
3304557.0;19.0;2.05
3304557.0;20.0;0.45
3304557.0;21.0;4.82
3304557.0;22.0;0.85
3304557.0;23.0;0.97
3304557.0;24.0;0.79
3304557.0;25.0;1.53
3304557.0;26.0;0.59
3304557.0;27.0;0.92
3304557.0;28.0;0.86
3304557.0;29.0;0.39
3304557.0;30.0;2.42
3304557.0;31.0;0.58
3304557.0;32.0;1.16
5300108.0;11.0;7.0
5300108.0;12.0;14.29
5300108.0;13.0;1.17
5300108.0;14.0;1.65
5300108.0;15.0;0.66
5300108.0;16.0;1.54
5300108.0;17.0;1.11
5300108.0;18.0;2.62
5300108.0;19.0;1.47
5300108.0;20.0;1.63
5300108.0;21.0;1.41
5300108.0;22.0;1.54
5300108.0;23.0;1.97
5300108.0;24.0;0.94
5300108.0;25.0;1.65
5300108.0;26.0;1.0
5300108.0;27.0;1.34
5300108.0;28.0;0.95
5300108.0;29.0;0.94
5300108.0;30.0;1.07
5300108.0;31.0;1.04
5300108.0;32.0;1.04
3547304.0;11.0;0.0
3547304.0;13.0;4.0
3547304.0;14.0;4.5
3547304.0;15.0;0.5
3547304.0;16.0;2.33
3547304.0;17.0;1.24
3547304.0;18.0;2.38
3547304.0;19.0;1.11
3547304.0;20.0;0.96
3547304.0;21.0;1.32
3547304.0;22.0;1.34
3547304.0;23.0;1.03
3547304.0;24.0;1.13
3547304.0;25.0;1.24
3547304.0;26.0;0.74
3547304.0;27.0;1.21
3547304.0;28.0;1.02
3547304.0;29.0;0.62
3547304.0;30.0;1.95
3547304.0;31.0;1.08
3547304.0;32.0;1.02
2704302.0;12.0;6.0
2704302.0;13.0;1.0
2704302.0;14.0;0.67
2704302.0;15.0;5.0
2704302.0;16.0;3.5
2704302.0;17.0;4.57
2704302.0;18.0;2.18
2704302.0;19.0;0.79
2704302.0;20.0;1.54
2704302.0;21.0;1.07
2704302.0;22.0;1.84
2704302.0;23.0;1.63
2704302.0;24.0;0.83
2704302.0;25.0;0.93
2704302.0;26.0;1.07
2704302.0;27.0;0.76
2704302.0;28.0;1.02
2704302.0;29.0;1.01
2704302.0;30.0;0.8
2704302.0;31.0;1.15
2704302.0;32.0;0.67
3122306.0;12.0;0.0
3122306.0;14.0;2.25
3122306.0;15.0;0.78
3122306.0;16.0;2.14
3122306.0;17.0;1.47
3122306.0;18.0;0.82
3122306.0;19.0;1.67
3122306.0;20.0;0.67
3122306.0;21.0;1.1
3122306.0;22.0;1.32
3122306.0;23.0;1.79
3122306.0;24.0;0.4
3122306.0;25.0;2.14
3122306.0;26.0;0.78
3122306.0;27.0;1.6
3122306.0;28.0;1.3
3122306.0;29.0;0.82
3122306.0;30.0;0.98
3122306.0;31.0;0.66
3122306.0;32.0;2.28
4303905.0;12.0;1.0
4303905.0;13.0;0.0
4303905.0;15.0;1.0
4303905.0;16.0;0.0
4303905.0;23.0;9.0
4303905.0;24.0;1.33
4303905.0;25.0;2.5
4303905.0;26.0;1.02
4303905.0;27.0;1.44
4303905.0;28.0;1.1
4303905.0;29.0;0.71
4303905.0;30.0;2.28
4303905.0;31.0;2.65
4303905.0;32.0;0.66
4314902.0;12.0;16.5
4314902.0;13.0;2.18
4314902.0;14.0;1.86
4314902.0;15.0;0.52
4314902.0;16.0;0.9
4314902.0;17.0;0.81
4314902.0;18.0;0.57
4314902.0;19.0;1.83
4314902.0;20.0;1.7
4314902.0;21.0;0.04
4314902.0;22.0;32.5
4314902.0;23.0;3.08
4314902.0;24.0;0.54
4314902.0;25.0;1.5
4314902.0;26.0;2.44
4314902.0;27.0;0.7
4314902.0;28.0;1.64
4314902.0;29.0;2.51
4314902.0;30.0;0.63
4314902.0;31.0;0.7
4314902.0;32.0;1.29
5208707.0;12.0;2.0
5208707.0;13.0;4.0
5208707.0;14.0;1.33
5208707.0;15.0;1.53
5208707.0;16.0;2.29
5208707.0;17.0;0.42
5208707.0;18.0;4.13
5208707.0;19.0;0.43
5208707.0;20.0;4.1
5208707.0;21.0;0.86
5208707.0;22.0;1.35
5208707.0;23.0;1.88
5208707.0;24.0;0.7
5208707.0;25.0;3.57
5208707.0;26.0;0.75
5208707.0;27.0;1.21
5208707.0;28.0;0.8
5208707.0;29.0;0.44
5208707.0;30.0;6.15
5208707.0;31.0;1.02
5208707.0;32.0;1.05
5218805.0;12.0;2.0
5218805.0;13.0;2.0
5218805.0;14.0;0.0
5218805.0;16.0;0.5
5218805.0;17.0;0.5
5218805.0;18.0;5.0
5218805.0;19.0;0.0
5218805.0;21.0;4.25
5218805.0;22.0;2.18
5218805.0;23.0;2.54
5218805.0;24.0;2.64
5218805.0;25.0;9.98
5218805.0;26.0;0.44
5218805.0;27.0;0.46
5218805.0;28.0;1.4
5218805.0;29.0;0.2
5218805.0;30.0;5.03
5218805.0;31.0;0.54
5218805.0;32.0;2.22
3131307.0;12.0;0.0
3131307.0;16.0;0.67
3131307.0;17.0;3.5
3131307.0;18.0;0.57
3131307.0;19.0;1.5
3131307.0;20.0;1.67
3131307.0;21.0;4.8
3131307.0;22.0;2.75
3131307.0;23.0;1.45
3131307.0;24.0;1.33
3131307.0;25.0;1.3
3131307.0;26.0;1.75
3131307.0;27.0;1.78
3131307.0;28.0;0.82
3131307.0;29.0;1.07
3131307.0;30.0;0.77
3131307.0;31.0;0.72
3131307.0;32.0;1.03
2611606.0;12.0;3.17
2611606.0;13.0;1.11
2611606.0;14.0;3.48
2611606.0;15.0;5.03
2611606.0;16.0;2.1
2611606.0;17.0;0.68
2611606.0;18.0;5.14
2611606.0;19.0;0.79
2611606.0;20.0;1.33
2611606.0;21.0;1.24
2611606.0;22.0;0.64
2611606.0;23.0;0.68
2611606.0;24.0;0.92
2611606.0;25.0;0.91
2611606.0;26.0;0.83
2611606.0;27.0;0.9
2611606.0;28.0;1.41
2611606.0;29.0;0.9
2611606.0;30.0;1.2
2611606.0;31.0;1.12
2611606.0;32.0;0.69
4105508.0;12.0;1.0
4105508.0;13.0;5.0
4105508.0;14.0;0.8
4105508.0;15.0;0.5
4105508.0;16.0;0.5
4105508.0;17.0;1.0
4105508.0;18.0;6.0
4105508.0;19.0;0.5
4105508.0;20.0;0.33
4105508.0;21.0;9.0
4105508.0;22.0;3.33
4105508.0;23.0;2.13
4105508.0;24.0;1.06
4105508.0;25.0;0.84
4105508.0;26.0;2.98
4105508.0;27.0;0.83
4105508.0;28.0;0.54
4105508.0;29.0;0.55
4105508.0;30.0;0.5
4105508.0;31.0;1.29
4105508.0;32.0;1.07
4106902.0;12.0;5.2
4106902.0;13.0;1.65
4106902.0;14.0;1.84
4106902.0;15.0;1.59
4106902.0;16.0;0.53
4106902.0;17.0;0.82
4106902.0;18.0;1.2
4106902.0;19.0;1.12
4106902.0;20.0;1.19
4106902.0;21.0;1.39
4106902.0;22.0;1.59
4106902.0;23.0;1.64
4106902.0;24.0;1.29
4106902.0;25.0;1.7
4106902.0;26.0;1.52
4106902.0;27.0;2.25
4106902.0;28.0;1.2
4106902.0;29.0;1.09
4106902.0;30.0;0.95
4106902.0;31.0;1.15
4106902.0;32.0;0.85
3303302.0;12.0;9.0
3303302.0;13.0;3.0
3303302.0;14.0;1.56
3303302.0;15.0;0.98
3303302.0;16.0;1.93
3303302.0;17.0;0.7
3303302.0;18.0;2.84
3303302.0;19.0;1.4
3303302.0;20.0;2.55
3303302.0;21.0;1.42
