"","ARmaior","Armenor","NomeMunic","Total","ano"
"1","ACRE",1200013,"Acrelândia - AC",17314.098139,2020
"2","ACRE",1200054,"Assis Brasil - AC",9194.869964,2020
"3","ACRE",1200104,"Brasiléia - AC",24644.9637,2020
"4","ACRE",1200138,"Bujari - AC",10830.59801,2020
"5","ACRE",1200179,"Capixaba - AC",12608.267829,2020
"6","ACRE",1200203,"Cruzeiro do Sul - AC",84753.73237,2020
"7","ACRE",1200252,"Epitaciolândia - AC",18791.72525,2020
"8","ACRE",1200302,"Feijó - AC",36432.47026,2020
"9","ACRE",1200328,"Jordão - AC",9195.071733,2020
"10","ACRE",1200336,"Mâncio Lima - AC",19320.32964,2020
"11","ACRE",1200344,"Manoel Urbano - AC",9238.637831,2020
"12","ACRE",1200351,"Marechal Thaumaturgo - AC",22517.107392,2020
"13","ACRE",1200385,"Plácido de Castro - AC",17875.76832,2020
"14","ACRE",1200393,"Porto Walter - AC",13950.470436,2020
"15","ACRE",1200401,"Rio Branco - AC",409761.7371,2020
"16","ACRE",1200427,"Rodrigues Alves - AC",22781.285008,2020
"17","ACRE",1200435,"Santa Rosa do Purus - AC",8296.297489,2020
"18","ACRE",1200450,"Senador Guiomard - AC",19119.13603,2020
"19","ACRE",1200500,"Sena Madureira - AC",45455.26377,2020
"20","ACRE",1200609,"Tarauacá - AC",45314.60349,2020
"21","ACRE",1200708,"Xapuri - AC",19706.58051,2020
"22","ACRE",1200807,"Porto Acre - AC",17366.96532,2020
"23","ALAGOAS",2700102,"Água Branca - AL",19570.87719,2020
"24","ALAGOAS",2700201,"Anadia - AL",16784.52194,2020
"25","ALAGOAS",2700300,"Arapiraca - AL",236276.5157,2020
"26","ALAGOAS",2700409,"Atalaia - AL",46975.80054,2020
"27","ALAGOAS",2700508,"Barra de Santo Antônio - AL",16956.08629,2020
"28","ALAGOAS",2700607,"Barra de São Miguel - AL",8655.561209,2020
"29","ALAGOAS",2700706,"Batalha - AL",18725.81744,2020
"30","ALAGOAS",2700805,"Belém - AL",3844.467431,2020
"31","ALAGOAS",2700904,"Belo Monte - AL",7045.821187,2020
"32","ALAGOAS",2701001,"Boca da Mata - AL",26371.81243,2020
