,state,ibge_code,week,epidemiological_week,total_inhabitants_state,new_week_cases,new_week_cases_per_100k_inhabitantants,latitude,longitude,region
0,AC,12.0,2020-03-21,12,894469.979591,11,1.2297785561265895,-8.77,-70.55,norte
1,AC,12.0,2020-03-28,13,894469.979591,14,1.5651727077974775,-8.77,-70.55,norte
2,AC,12.0,2020-04-04,14,894469.979591,21,2.3477590616962165,-8.77,-70.55,norte
3,AC,12.0,2020-04-11,15,894469.979591,26,2.9067493144810297,-8.77,-70.55,norte
4,AC,12.0,2020-04-18,16,894469.979591,70,7.825863538987388,-8.77,-70.55,norte
5,AC,12.0,2020-04-25,17,894469.979591,116,12.968573864607672,-8.77,-70.55,norte
6,AC,12.0,2020-05-02,18,894469.979591,295,32.980424914303995,-8.77,-70.55,norte
7,AC,12.0,2020-05-09,19,894469.979591,782,87.42607553554483,-8.77,-70.55,norte
8,AC,12.0,2020-05-16,20,894469.979591,532,59.476562896304145,-8.77,-70.55,norte
9,AC,12.0,2020-05-23,21,894469.979591,2000,223.59610111392536,-8.77,-70.55,norte
10,AC,12.0,2020-05-30,22,894469.979591,2205,246.51470147810272,-8.77,-70.55,norte
11,AC,12.0,2020-06-06,23,894469.979591,1453,162.44256745926677,-8.77,-70.55,norte
12,AC,12.0,2020-06-13,24,894469.979591,2009,224.60228356893802,-8.77,-70.55,norte
13,AC,12.0,2020-06-20,25,894469.979591,1729,193.29882941298848,-8.77,-70.55,norte
14,AC,12.0,2020-06-27,26,894469.979591,1650,184.46678341898843,-8.77,-70.55,norte
15,AC,12.0,2020-07-04,27,894469.979591,1574,175.97013157665927,-8.77,-70.55,norte
16,AC,12.0,2020-07-11,28,894469.979591,1593,178.09429453724155,-8.77,-70.55,norte
17,AC,12.0,2020-07-18,29,894469.979591,1122,125.43741272491214,-8.77,-70.55,norte
18,AC,12.0,2020-07-25,30,894469.979591,1455,162.6661635603807,-8.77,-70.55,norte
19,AC,12.0,2020-08-01,31,894469.979591,1273,142.3189183590135,-8.77,-70.55,norte
20,AL,27.0,2020-03-14,11,3351091.9836239996,1,0.02984101913306962,-9.62,-36.82,nordeste
21,AL,27.0,2020-03-21,12,3351091.9836239996,6,0.17904611479841773,-9.62,-36.82,nordeste
22,AL,27.0,2020-03-28,13,3351091.9836239996,7,0.20888713393148733,-9.62,-36.82,nordeste
23,AL,27.0,2020-04-04,14,3351091.9836239996,9,0.2685691721976266,-9.62,-36.82,nordeste
24,AL,27.0,2020-04-11,15,3351091.9836239996,25,0.7460254783267405,-9.62,-36.82,nordeste
25,AL,27.0,2020-04-18,16,3351091.9836239996,84,2.5066456071778482,-9.62,-36.82,nordeste
26,AL,27.0,2020-04-25,17,3351091.9836239996,369,11.011336060102689,-9.62,-36.82,nordeste
27,AL,27.0,2020-05-02,18,3351091.9836239996,870,25.96168664577057,-9.62,-36.82,nordeste
28,AL,27.0,2020-05-09,19,3351091.9836239996,799,23.842974287322626,-9.62,-36.82,nordeste
29,AL,27.0,2020-05-16,20,3351091.9836239996,1423,42.46377022635807,-9.62,-36.82,nordeste
30,AL,27.0,2020-05-23,21,3351091.9836239996,2037,60.786155974062815,-9.62,-36.82,nordeste
31,AL,27.0,2020-05-30,22,3351091.9836239996,3593,107.21878174511914,-9.62,-36.82,nordeste
32,AL,27.0,2020-06-06,23,3351091.9836239996,5595,166.96050204952454,-9.62,-36.82,nordeste
33,AL,27.0,2020-06-13,24,3351091.9836239996,6069,181.10514511859952,-9.62,-36.82,nordeste
34,AL,27.0,2020-06-20,25,3351091.9836239996,6811,203.24718131533717,-9.62,-36.82,nordeste
35,AL,27.0,2020-06-27,26,3351091.9836239996,5823,173.76425441186439,-9.62,-36.82,nordeste
36,AL,27.0,2020-07-04,27,3351091.9836239996,5734,171.1084037090212,-9.62,-36.82,nordeste
37,AL,27.0,2020-07-11,28,3351091.9836239996,5378,160.4850008976484,-9.62,-36.82,nordeste
38,AL,27.0,2020-07-18,29,3351091.9836239996,4950,147.7130447086946,-9.62,-36.82,nordeste
39,AL,27.0,2020-07-25,30,3351091.9836239996,5147,153.59172547790934,-9.62,-36.82,nordeste
40,AL,27.0,2020-08-01,31,3351091.9836239996,6262,186.86446181128196,-9.62,-36.82,nordeste
41,AM,13.0,2020-03-14,11,4207713.929376001,2,0.04753174844033653,-3.47,-65.1,norte
42,AM,13.0,2020-03-21,12,4207713.929376001,9,0.21389286798151438,-3.47,-65.1,norte
43,AM,13.0,2020-03-28,13,4207713.929376001,100,2.3765874220168266,-3.47,-65.1,norte
44,AM,13.0,2020-04-04,14,4207713.929376001,200,4.753174844033653,-3.47,-65.1,norte
45,AM,13.0,2020-04-11,15,4207713.929376001,738,17.53921517448418,-3.47,-65.1,norte
46,AM,13.0,2020-04-18,16,4207713.929376001,848,20.153461338702687,-3.47,-65.1,norte
47,AM,13.0,2020-04-25,17,4207713.929376001,1738,41.30508939465244,-3.47,-65.1,norte
48,AM,13.0,2020-05-02,18,4207713.929376001,2427,57.67977673234838,-3.47,-65.1,norte
49,AM,13.0,2020-05-09,19,4207713.929376001,5863,139.33932055284654,-3.47,-65.1,norte
50,AM,13.0,2020-05-16,20,4207713.929376001,7752,184.2330569547444,-3.47,-65.1,norte
51,AM,13.0,2020-05-23,21,4207713.929376001,9125,216.86360225903542,-3.47,-65.1,norte
52,AM,13.0,2020-05-30,22,4207713.929376001,11758,279.43914908073845,-3.47,-65.1,norte
53,AM,13.0,2020-06-06,23,4207713.929376001,8225,195.474315460884,-3.47,-65.1,norte
54,AM,13.0,2020-06-13,24,4207713.929376001,7241,172.0886952282384,-3.47,-65.1,norte
55,AM,13.0,2020-06-20,25,4207713.929376001,6553,155.73777376476264,-3.47,-65.1,norte
56,AM,13.0,2020-06-27,26,4207713.929376001,6443,153.12352760054412,-3.47,-65.1,norte
57,AM,13.0,2020-07-04,27,4207713.929376001,6480,154.00286494669035,-3.47,-65.1,norte
58,AM,13.0,2020-07-11,28,4207713.929376001,7728,183.66267597346035,-3.47,-65.1,norte
59,AM,13.0,2020-07-18,29,4207713.929376001,7304,173.585945304109,-3.47,-65.1,norte
60,AM,13.0,2020-07-25,30,4207713.929376001,5560,132.13826066413554,-3.47,-65.1,norte
61,AM,13.0,2020-08-01,31,4207713.929376001,5683,135.06146319321624,-3.47,-65.1,norte
62,AP,16.0,2020-03-21,12,861772.9898069999,1,0.11603984016996831,1.41,-51.77,norte
63,AP,16.0,2020-03-28,13,861772.9898069999,3,0.3481195205099049,1.41,-51.77,norte
64,AP,16.0,2020-04-04,14,861772.9898069999,25,2.900996004249208,1.41,-51.77,norte
65,AP,16.0,2020-04-11,15,861772.9898069999,164,19.030533787874802,1.41,-51.77,norte
66,AP,16.0,2020-04-18,16,861772.9898069999,207,24.02024691518344,1.41,-51.77,norte
67,AP,16.0,2020-04-25,17,861772.9898069999,289,33.53551380912084,1.41,-51.77,norte
68,AP,16.0,2020-05-02,18,861772.9898069999,498,57.78784040464422,1.41,-51.77,norte
69,AP,16.0,2020-05-09,19,861772.9898069999,1306,151.54803126197862,1.41,-51.77,norte
70,AP,16.0,2020-05-16,20,861772.9898069999,1341,155.6094256679275,1.41,-51.77,norte
71,AP,16.0,2020-05-23,21,861772.9898069999,1821,211.3085489495123,1.41,-51.77,norte
72,AP,16.0,2020-05-30,22,861772.9898069999,3658,424.4737353417441,1.41,-51.77,norte
73,AP,16.0,2020-06-06,23,861772.9898069999,3460,401.4978469880904,1.41,-51.77,norte
74,AP,16.0,2020-06-13,24,861772.9898069999,3549,411.8253927632175,1.41,-51.77,norte
75,AP,16.0,2020-06-20,25,861772.9898069999,5252,609.4412405726736,1.41,-51.77,norte
76,AP,16.0,2020-06-27,26,861772.9898069999,6327,734.1840687553895,1.41,-51.77,norte
77,AP,16.0,2020-07-04,27,861772.9898069999,1908,221.40401504429954,1.41,-51.77,norte
78,AP,16.0,2020-07-11,28,861772.9898069999,1470,170.5785650498534,1.41,-51.77,norte
79,AP,16.0,2020-07-18,29,861772.9898069999,2306,267.58787143194695,1.41,-51.77,norte
80,AP,16.0,2020-07-25,30,861772.9898069999,1577,182.99482794804,1.41,-51.77,norte
81,AP,16.0,2020-08-01,31,861772.9898069999,1433,166.28509096356458,1.41,-51.77,norte
82,BA,29.0,2020-03-07,10,14930424.147871993,2,0.013395466734178857,-13.29,-41.71,nordeste
83,BA,29.0,2020-03-14,11,14930424.147871993,5,0.03348866683544714,-13.29,-41.71,nordeste
84,BA,29.0,2020-03-21,12,14930424.147871993,34,0.22772293448104058,-13.29,-41.71,nordeste
85,BA,29.0,2020-03-28,13,14930424.147871993,86,0.5760050695696909,-13.29,-41.71,nordeste
86,BA,29.0,2020-04-04,14,14930424.147871993,209,1.3998262737216907,-13.29,-41.71,nordeste
87,BA,29.0,2020-04-11,15,14930424.147871993,304,2.0361109435951863,-13.29,-41.71,nordeste
88,BA,29.0,2020-04-18,16,14930424.147871993,560,3.75073068557008,-13.29,-41.71,nordeste
89,BA,29.0,2020-04-25,17,14930424.147871993,916,6.135123764253916,-13.29,-41.71,nordeste
90,BA,29.0,2020-05-02,18,14930424.147871993,1199,8.030582307140225,-13.29,-41.71,nordeste
91,BA,29.0,2020-05-09,19,14930424.147871993,1859,12.451086329419248,-13.29,-41.71,nordeste
92,BA,29.0,2020-05-16,20,14930424.147871993,3140,21.030882772660807,-13.29,-41.71,nordeste
93,BA,29.0,2020-05-23,21,14930424.147871993,4686,31.385578558181063,-13.29,-41.71,nordeste
94,BA,29.0,2020-05-30,22,14930424.147871993,4626,30.983714556155697,-13.29,-41.71,nordeste
95,BA,29.0,2020-06-06,23,14930424.147871993,9770,65.43685499646372,-13.29,-41.71,nordeste
96,BA,29.0,2020-06-13,24,14930424.147871993,8392,56.20737841661448,-13.29,-41.71,nordeste
97,BA,29.0,2020-06-20,25,14930424.147871993,9516,63.735630721223,-13.29,-41.71,nordeste
98,BA,29.0,2020-06-27,26,14930424.147871993,19940,133.55280333976322,-13.29,-41.71,nordeste
99,BA,29.0,2020-07-04,27,14930424.147871993,20241,135.56882108325712,-13.29,-41.71,nordeste
100,BA,29.0,2020-07-11,28,14930424.147871993,18703,125.26770716467358,-13.29,-41.71,nordeste
101,BA,29.0,2020-07-18,29,14930424.147871993,16050,107.49862054178533,-13.29,-41.71,nordeste
102,BA,29.0,2020-07-25,30,14930424.147871993,26161,175.21940261642655,-13.29,-41.71,nordeste
103,BA,29.0,2020-08-01,31,14930424.147871993,22527,150.87983956042356,-13.29,-41.71,nordeste
104,CE,23.0,2020-03-21,12,9187885.951516999,84,0.9142473082845666,-5.2,-39.53,nordeste
105,CE,23.0,2020-03-28,13,9187885.951516999,238,2.5903673734729384,-5.2,-39.53,nordeste
106,CE,23.0,2020-04-04,14,9187885.951516999,423,4.603888231004425,-5.2,-39.53,nordeste
107,CE,23.0,2020-04-11,15,9187885.951516999,923,10.045836494603035,-5.2,-39.53,nordeste
108,CE,23.0,2020-04-18,16,9187885.951516999,1394,15.172151758912927,-5.2,-39.53,nordeste
109,CE,23.0,2020-04-25,17,9187885.951516999,2605,28.352550453348762,-5.2,-39.53,nordeste
110,CE,23.0,2020-05-02,18,9187885.951516999,2642,28.75525462485506,-5.2,-39.53,nordeste
111,CE,23.0,2020-05-09,19,9187885.951516999,7570,82.39109671088296,-5.2,-39.53,nordeste
112,CE,23.0,2020-05-16,20,9187885.951516999,7916,86.1569249092932,-5.2,-39.53,nordeste
113,CE,23.0,2020-05-23,21,9187885.951516999,11327,123.28189596356292,-5.2,-39.53,nordeste
114,CE,23.0,2020-05-30,22,9187885.951516999,12700,138.22548589540472,-5.2,-39.53,nordeste
115,CE,23.0,2020-06-06,23,9187885.951516999,15753,171.4540219929378,-5.2,-39.53,nordeste
116,CE,23.0,2020-06-13,24,9187885.951516999,12854,139.9016059605931,-5.2,-39.53,nordeste
117,CE,23.0,2020-06-20,25,9187885.951516999,15968,173.79405974628523,-5.2,-39.53,nordeste
118,CE,23.0,2020-06-27,26,9187885.951516999,14667,159.63411036440164,-5.2,-39.53,nordeste
119,CE,23.0,2020-07-04,27,9187885.951516999,14400,156.72810999164,-5.2,-39.53,nordeste
120,CE,23.0,2020-07-11,28,9187885.951516999,14537,158.219203815866,-5.2,-39.53,nordeste
121,CE,23.0,2020-07-18,29,9187885.951516999,10971,119.40722879988071,-5.2,-39.53,nordeste
122,CE,23.0,2020-07-25,30,9187885.951516999,14872,161.86530915247707,-5.2,-39.53,nordeste
123,CE,23.0,2020-08-01,31,9187885.951516999,14527,158.11036485059404,-5.2,-39.53,nordeste
124,DF,53.0,2020-03-07,10,3052546.0,1,0.03275953908638887,-15.83,-47.86,centro-oeste
125,DF,53.0,2020-03-14,11,3052546.0,7,0.22931677360472208,-15.83,-47.86,centro-oeste
126,DF,53.0,2020-03-21,12,3052546.0,100,3.275953908638887,-15.83,-47.86,centro-oeste
127,DF,53.0,2020-03-28,13,3052546.0,152,4.979449941131108,-15.83,-47.86,centro-oeste
128,DF,53.0,2020-04-04,14,3052546.0,196,6.420869660932219,-15.83,-47.86,centro-oeste
129,DF,53.0,2020-04-11,15,3052546.0,136,4.455297315748886,-15.83,-47.86,centro-oeste
130,DF,53.0,2020-04-18,16,3052546.0,204,6.68294597362333,-15.83,-47.86,centro-oeste
131,DF,53.0,2020-04-25,17,3052546.0,224,7.3381367553511065,-15.83,-47.86,centro-oeste
132,DF,53.0,2020-05-02,18,3052546.0,585,19.164330365537488,-15.83,-47.86,centro-oeste
133,DF,53.0,2020-05-09,19,3052546.0,971,31.80951245288359,-15.83,-47.86,centro-oeste
134,DF,53.0,2020-05-16,20,3052546.0,1564,51.23591913111219,-15.83,-47.86,centro-oeste
