code_muni,casos,mortes
2702355,57,2
2707602,21,0
2903409,56,0
3203007,48,4
2103208,67,7
2110039,-1,0
3108206,37,1
3126307,1,0
3148806,1,0
3160900,0,0
3161809,2,0
5106299,3,1
5108402,397,40
1506138,204,5
1508050,40,0
1508100,132,2
1100114,51,3
4304200,9,0
4313805,4,0
3557303,22,2
3515806,0,0
3523602,11,1
1712454,2,0
1720853,0,0
2709202,17,1
2905909,6,0
2922409,10,0
2928307,14,0
2309102,5,0
5200829,0,0
5214051,9,0
5218508,125,0
2103307,8,0
2108256,1,0
5004809,0,0
5007554,5,0
1506401,1,0
2516300,36,1
2208551,42,0
4119103,3,0
4306700,0,0
4311502,1,0
4201703,2,1
3529906,13,4
3546603,62,2
3548906,150,2
3135456,0,0
2203750,3,0
4111100,96,3
4117602,20,0
3301603,5,0
2407609,12,0
4318432,0,0
4323358,0,0
4323507,0,0
4200309,7,0
4207809,1,0
4216305,94,2
2802601,6,0
3507001,49,3
3517208,20,1
3526605,1,0
3536802,3,0
3548708,778,68
3549102,22,1
2905008,0,0
2911709,22,0
2304236,1,0
3204658,13,0
5202502,8,0
3102902,2,0
3113701,39,0
3130556,3,0
3164001,1,0
5007307,3,0
5106778,1,0
2514800,5,0
2208007,318,4
4116901,23,0
2404507,15,2
2405504,0,0
1400027,5,0
4314902,2268,48
4204251,8,0
2709301,33,2
2927804,1,0
2100808,-2,0
2102556,21,0
2105427,18,1
2109304,1,0
5008305,95,2
5106257,12,1
2201408,26,1
4102901,1,0
4104907,64,0
4108304,321,5
4126256,67,1
3304524,67,4
4302709,7,1
4305702,0,0
4217253,5,0
2804805,174,13
2805307,14,1
3515186,16,0
3520103,31,1
3555208,1,0
1702703,4,0
2704005,45,1
2310605,2,0
5201306,35,0
3126604,0,0
3127305,8,0
3129103,0,0
3141504,12,0
5107800,8,3
2504850,4,0
2202737,17,0
2210391,0,0
4104501,81,0
4114906,3,0
4120705,2,0
4126355,15,0
4128609,3,0
3306008,98,3
2412807,18,0
1400472,189,3
4301107,7,1
4302154,-1,0
4302451,0,0
4303202,3,0
4321626,0,0
3503000,5,0
3526506,5,0
3532868,2,0
3542206,13,0
3543204,2,0
3548104,2,0
3553856,0,0
2929602,21,0
2313807,22,1
5203906,24,0
5214002,35,0
5214606,27,1
2108504,50,0
3135076,0,0
5004700,12,1
1501782,22,2
2514206,16,0
2209757,0,0
3301702,157,11
4301750,10,0
4311254,2,0
4313425,0,0
4317905,1,0
4321634,0,0
4209003,59,0
2806800,20,1
3516804,3,0
3547502,3,0
1301803,71,0
1600550,37,0
2913457,8,0
2919058,11,0
5210208,27,2
2110609,48,2
3121506,1,0
3138682,1,0
5003108,1,0
5107883,-1,0
2615003,5,0
2600401,31,4
2202083,9,0
2210375,3,0
4115309,0,0
4116406,14,0
4119905,194,2
4126504,11,0
4127106,88,3
4302253,2,0
4312609,1,0
4203006,10,1
4206306,47,0
4210035,8,0
4211108,2,0
3501103,1,0
3522901,7,0
3531407,43,3
3532207,1,0
1703602,0,0
1714302,9,0
1718899,2,0
2924900,0,0
1200351,20,0
2918001,495,11
3202652,29,1
5203962,0,0
2103174,27,0
3121001,2,0
3138302,3,0
3154804,8,0
3158003,3,0
3160504,0,0
5003900,0,0
5107305,33,1
2615607,19,0
2206696,11,1
2207009,141,3
4128625,0,0
4100509,9,0
4113403,1,0
4119202,3,0
3302056,3,0
2404408,6,0
2409902,15,2
4307559,3,0
3505708,197,20
3519253,4,0
3555109,7,0
1720259,0,0
2918605,0,0
2918803,24,1
2922508,39,1
2923803,8,0
2306801,10,1
2309300,8,0
5202601,0,0
5216452,0,0
5218789,0,0
2103505,173,5
3112901,0,0
3142254,0,0
3145372,0,0
3164704,20,1
5103379,3,0
1501006,45,0
1501709,73,8
2502706,0,0
2203909,57,2
4104600,13,0
3300407,70,0
4314308,0,0
3506706,5,0
3510906,8,0
3532900,0,0
2904001,2,0
2906907,22,0
2929057,4,0
3200169,22,0
5200134,10,1
3135100,69,4
3145877,1,0
3164506,5,0
3171030,0,0
5100102,10,0
5105234,7,0
1504059,20,1
2512754,6,0
2515203,0,0
2601201,52,2
4100400,140,0
4110508,1,0
4309902,12,0
4212056,2,0
4219309,55,1
3506102,27,4
3520400,103,3
3540200,243,4
3550902,10,0
1720655,0,0
2905156,0,0
2305704,5,0
3201001,36,3
3204351,20,2
2105005,76,1
5106851,5,0
1502202,38,2
1506500,11,3
2603207,46,0
2207793,8,0
4100202,21,0
4106209,10,0
4120853,0,0
4126900,1,0
2405207,8,0
2406601,7,1
2410256,5,0
1100379,6,0
4309209,204,13
4318309,45,2
4205175,15,0
4216206,149,0
3522406,22,0
2701357,2,0
2930303,2,0
5204300,35,0
2104305,0,0
3120409,0,0
3136108,3,1
3162005,1,0
5108907,4,0
2512408,14,0
2614600,50,1
2616001,6,0
2200251,3,0
2200905,3,0
2204352,5,0
4120101,2,0
4124103,54,0
1101005,-5,0
4201802,4,0
4205704,13,0
4212700,2,0
2804508,58,3
3521309,22,1
3522307,79,2
3535200,8,0
3551009,263,46
1718204,149,2
1718451,2,0
2701803,6,0
2902807,0,0
2913705,15,0
2925758,130,4
2301307,11,1
2310506,16,2
5203401,11,0
2101202,244,7
2105153,16,1
2110104,7,4
2110278,7,1
2111250,0,0
2111029,28,1
3110004,29,1
3139102,16,0
3162559,7,0
1506161,45,0
2503506,29,1
2206100,32,0
2210938,27,0
4103024,1,0
4106308,24,1
3300456,57,5
2412302,16,1
4300406,18,1
4305405,2,0
4308052,1,0
3503604,0,0
3519006,6,0
1303502,56,0
2900306,5,0
2902609,1,0
2904902,49,4
2924207,1,0
2102358,1,0
2107001,2,0
2111904,0,0
2110658,2,0
3105400,31,0
3120839,0,0
5002951,39,0
5004502,22,0
5108352,3,0
1502509,3,0
2602704,1,0
2614709,2,0
2202059,44,1
2202604,16,0
2206506,3,0
2208205,30,0
4108957,0,0
4110706,31,0
4121208,43,0
4123303,1,0
4127858,4,0
2412708,20,0
1100809,96,0
4301008,16,0
4304663,8,0
3501004,20,0
5215652,2,0
2700706,22,0
2909802,39,1
2916906,1,0
5206503,1,0
5218102,11,0
3105509,0,0
3116407,0,0
3120607,8,1
3147600,3,0
3152808,25,0
3158953,191,1
3165909,0,0
3171006,15,0
2502151,0,0
4108908,0,0
4310652,0,0
4310900,9,0
4321709,10,0
4202701,8,0
3535002,10,2
3555505,11,0
1718659,0,0
1301951,0,0
2921807,1,0
3146107,31,2
5100607,3,0
2505352,2,0
2507200,31,0
2513901,163,2
2204303,2,0
2210383,0,0
4122404,51,2
3302601,6,0
2403707,4,0
2407500,16,1
2409308,3,0
4204400,1,0
4217600,13,0
3500303,12,0
3540408,5,0
1303957,43,0
1600253,7,0
2901700,7,0
2919702,69,0
2920502,29,1
2930774,19,0
2300309,28,2
3201605,30,2
3203163,3,1
5217302,0,0
2100907,27,0
2111722,1,0
2112308,81,1
3122702,0,0
3167509,1,0
3169307,31,0
5107248,4,0
2503308,6,0
2202307,64,0
4117107,0,0
3303302,324,19
2410504,3,0
1400209,54,2
4311403,49,0
2802106,356,8
3523206,6,0
3552205,819,23
2702603,32,0
1600808,180,1
2908606,18,0
2920304,-1,0
2922706,19,0
2922854,0,0
2306603,28,1
2307106,7,0
2309409,32,0
2309508,115,4
2311702,27,0
3201100,27,1
2106300,29,0
3105905,9,0
3127388,3,0
3154903,15,0
3159704,0,0
3165552,0,0
3170750,3,0
