code_muni,casos,mortes
4117701,0,0
1400100,34,1
4321303,3,0
2918407,3,0
2919207,9,2
3546009,0,1
3546801,0,0
5102702,1,0
4314035,1,0
2602100,1,0
2305407,1,0
5208509,1,1
2306553,1,0
2310852,1,0
3124104,0,0
2608909,1,0
2912905,3,0
2917102,0,0
3200359,0,0
3302205,2,0
4208807,1,0
2615300,1,0
3304128,2,0
2307304,2,0
1501501,0,0
4104303,7,3
4218103,0,0
2706307,1,0
3507605,26,4
2605806,1,0
3201506,4,0
4300406,0,0
4322509,1,0
1600501,0,0
5003702,1,0
2601706,1,0
4314001,1,0
1400050,1,1
1301159,1,0
3204955,0,0
2908408,2,0
3138203,1,0
3204708,2,0
2412005,10,1
4323002,4,0
4201406,2,0
4217006,3,0
4111506,1,0
4316006,0,0
1303809,0,0
3121902,1,0
3502903,1,0
1300706,0,0
4307609,0,0
4201950,1,0
2915601,0,0
5108956,0,0
4102000,3,0
4113700,25,2
4301057,1,0
4308607,1,0
3507803,1,0
3528502,3,1
3543303,12,0
2302206,0,0
2306306,0,0
4104204,3,0
3545308,1,0
2312601,1,0
2302057,1,0
1303700,3,0
4304630,2,0
3550209,1,0
3304557,923,60
4210100,0,0
3115805,1,0
1504422,1,0
3108404,1,0
3301108,1,0
4122404,0,0
3524006,0,0
5108303,1,0
4305454,1,0
4219200,1,0
2933208,1,0
3117306,1,0
2925204,0,0
3166808,0,0
3129806,1,0
5300108,127,7
4109757,0,0
4212403,1,0
2109452,2,0
1501907,1,0
3202405,0,0
3119401,1,0
3157807,0,0
4119301,0,0
3305802,4,0
2411056,0,0
3507506,8,1
3518206,1,0
2303709,22,1
4301602,9,0
4127205,0,0
3551702,2,0
2609600,49,5
4122206,1,0
3303203,13,0
2411502,0,0
4217709,5,1
4216602,9,0
3141108,1,0
2602209,1,1
3131158,1,0
2605459,7,0
4105805,3,0
3300258,0,0
4303103,4,0
3549904,61,1
1709500,1,0
2903201,0,0
4200606,1,0
3513504,2,0
3205200,64,0
3105608,1,0
2510808,3,0
4216909,1,0
2904902,0,0
2933307,12,0
4127304,0,0
4128104,0,0
2403251,14,0
4307906,3,0
4207858,0,0
3523206,0,0
3530706,5,1
2306207,1,0
2606002,2,1
2915502,1,0
3510609,20,1
3133105,1,0
4108601,2,0
4127106,2,0
2609006,1,1
4215802,1,0
3200102,0,0
3200607,1,0
3201407,0,0
4118204,1,2
4120804,1,0
1400175,0,0
3538907,0,0
3533908,2,0
1304203,1,0
2311801,2,0
3540705,2,1
3504008,3,1
2102705,1,0
4101705,5,0
4201208,3,2
3516309,5,0
3522307,3,1
3554409,1,0
5218607,2,0
3503901,6,0
3524303,2,1
5204508,1,0
3300308,1,0
3502804,10,0
5102637,0,0
4106209,0,0
4115200,8,2
4125506,4,0
3549102,1,0
2112803,1,0
2928950,0,0
4211207,1,0
3541604,0,0
2103208,1,0
2307700,1,0
5205109,0,0
3557105,4,0
2312809,1,0
3301876,2,2
4213203,0,0
4312252,2,0
3300803,1,0
3530607,39,1
2306256,2,1
2602902,10,3
4321501,1,0
2802908,0,0
3518800,129,11
3147006,1,0
4101507,7,0
4114302,1,0
2401008,2,1
3303856,2,0
2925501,0,0
2105302,9,0
3137205,6,0
4115804,1,0
4217253,0,0
2501807,1,1
3523503,1,0
2311405,4,0
5100250,0,0
2507507,52,7
4323408,0,0
1200385,4,0
2902906,1,0
3126109,0,0
3170404,0,0
1505031,0,0
2516201,0,0
3302007,2,0
3305901,0,0
4321600,0,0
2307502,1,0
3506102,1,0
4127700,1,0
4103909,1,1
5200506,1,0
5107602,11,0
3305752,2,1
4213500,1,0
2925303,1,0
2307601,3,1
3302858,22,0
4219002,1,0
3203908,2,0
2607208,3,0
2303600,1,0
3162104,1,0
3300704,4,0
5213756,1,0
3546900,1,0
2915205,1,1
3125101,1,0
4109708,0,0
3541000,12,2
3303302,41,4
4216206,0,0
1702109,2,0
2613909,1,0
2927408,140,6
2312908,9,0
1501402,116,8
4113205,0,0
3305000,1,0
1100122,0,0
3508900,1,1
5218805,4,1
2611606,367,24
3304201,4,0
2407104,1,0
3515707,19,0
3550100,2,1
1301100,1,0
3131505,1,0
2904605,3,0
2311306,5,0
2111300,247,20
4105409,0,0
3302601,1,1
3302908,1,0
2409100,0,0
2804508,1,0
3521408,0,0
3525300,0,0
3205002,52,2
4307807,0,0
4313508,1,0
3500501,0,1
5102504,2,1
2610509,1,0
3140159,1,0
3505401,1,0
3555000,1,0
1302603,649,36
4128609,0,0
2603108,5,0
2301109,2,1
2302800,0,0
5105259,0,0
4317400,0,0
2800308,8,1
3554003,3,0
3554102,5,0
1507607,0,1
4302105,2,0
3534401,65,6
3547809,66,0
3556206,1,0
3108305,2,0
3163706,1,0
2923506,1,0
3538709,6,0
3541406,4,2
2913903,11,0
2207702,0,0
4109401,0,0
4118808,1,0
4219309,1,0
3548906,5,2
4306809,2,0
3552403,2,0
2919553,1,0
5204607,0,0
3131703,0,0
