city_ibge_code,city,state,last_available_confirmed_week_9,last_available_deaths_week_9,last_available_confirmed_week_10,last_available_deaths_week_10,last_available_confirmed_week_11,last_available_deaths_week_11,last_available_confirmed_week_12,last_available_deaths_week_12,last_available_confirmed_week_13,last_available_deaths_week_13,last_available_confirmed_week_14,last_available_deaths_week_14,last_available_confirmed_week_15,last_available_deaths_week_15,last_available_confirmed_week_16,last_available_deaths_week_16,last_available_confirmed_week_17,last_available_deaths_week_17,last_available_confirmed_week_18,last_available_deaths_week_18,last_available_confirmed_week_19,last_available_deaths_week_19,last_available_confirmed_week_20,last_available_deaths_week_20,last_available_confirmed_week_21,last_available_deaths_week_21,last_available_confirmed_week_22,last_available_deaths_week_22,last_available_confirmed_week_23,last_available_deaths_week_23,last_available_confirmed_week_24,last_available_deaths_week_24,last_available_confirmed_week_25,last_available_deaths_week_25,last_available_confirmed_week_26,last_available_deaths_week_26,last_available_confirmed_week_27,last_available_deaths_week_27,last_available_confirmed_week_28,last_available_deaths_week_28,last_available_confirmed_week_29,last_available_deaths_week_29,last_available_confirmed_week_30,last_available_deaths_week_30,last_available_confirmed_week_31,last_available_deaths_week_31,last_available_confirmed_week_32,last_available_deaths_week_32,last_available_confirmed_week_33,last_available_deaths_week_33,last_available_confirmed_week_34,last_available_deaths_week_34
1100015,Alta Floresta D'Oeste,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,13.0,0.0,49.0,0.0,70.0,0.0,93.0,0.0,114.0,0.0,152.0,0.0,183.0,1.0,239.0,1.0,311,2,371,3,407,4,434,6
1100023,Ariquemes,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,49.0,0.0,84.0,0.0,121.0,0.0,149.0,0.0,230.0,3.0,332.0,4.0,518.0,5.0,683.0,9.0,907.0,17.0,1191.0,20.0,1464.0,22.0,1622.0,25.0,1817.0,32.0,2291.0,38.0,2648,41,3194,49,3707,60,3971,63
1100031,Cabixi,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,19.0,2.0,28.0,2.0,37.0,3.0,45,3,55,4,67,4,70,4
1100049,Cacoal,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,30.0,0.0,39.0,0.0,51.0,0.0,87.0,1.0,143.0,2.0,208.0,2.0,273.0,3.0,328.0,5.0,388.0,5.0,471.0,6.0,656.0,11.0,779,12,1085,19,1225,19,1411,20
1100056,Cerejeiras,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,2.0,15.0,2.0,24.0,2.0,29.0,2.0,32.0,2.0,38.0,3.0,58.0,4.0,84.0,5.0,104,5,135,5,150,6,163,6
1100064,Colorado do Oeste,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,26.0,0.0,33.0,0.0,45.0,0.0,51.0,0.0,53.0,0.0,72.0,0.0,80,0,89,0,90,0,104,0
1100072,Corumbiara,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,5.0,1.0,15.0,1.0,19,1,23,1,23,2,25,2
1100080,Costa Marques,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,9.0,0.0,17.0,0.0,25.0,1.0,26.0,1.0,31.0,1.0,41.0,1.0,60.0,1.0,85,1,106,1,140,2,158,2
1100098,Espigão D'Oeste,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,11.0,1.0,22.0,1.0,30.0,2.0,36.0,2.0,41.0,2.0,55.0,2.0,87.0,2.0,105.0,2.0,137.0,3.0,189.0,5.0,272,6,331,7,368,8,413,8
1100106,Guajará-Mirim,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,9.0,4.0,33.0,11.0,116.0,19.0,226.0,20.0,361.0,25.0,680.0,30.0,938.0,37.0,1194.0,43.0,1404.0,48.0,1720.0,59.0,1818.0,60.0,2043.0,67.0,2266,68,2421,72,2541,77,2610,78
