city_ibge_code,date,epidemiological_week,state,new_confirmed
35.0,2020-02-25,9,SP,1
35.0,2020-02-26,9,SP,0
35.0,2020-02-27,9,SP,0
35.0,2020-02-28,9,SP,1
35.0,2020-02-29,9,SP,0
35.0,2020-03-01,10,SP,0
35.0,2020-03-02,10,SP,0
35.0,2020-03-03,10,SP,0
35.0,2020-03-04,10,SP,1
32.0,2020-03-05,10,ES,1
33.0,2020-03-05,10,RJ,1
35.0,2020-03-05,10,SP,3
29.0,2020-03-06,10,BA,1
32.0,2020-03-06,10,ES,0
33.0,2020-03-06,10,RJ,1
35.0,2020-03-06,10,SP,4
29.0,2020-03-07,10,BA,1
53.0,2020-03-07,10,DF,1
32.0,2020-03-07,10,ES,0
35.0,2020-03-07,10,SP,3
27.0,2020-03-08,11,AL,1
53.0,2020-03-08,11,DF,0
32.0,2020-03-08,11,ES,0
31.0,2020-03-08,11,MG,1
33.0,2020-03-08,11,RJ,1
35.0,2020-03-08,11,SP,3
27.0,2020-03-09,11,AL,0
29.0,2020-03-09,11,BA,0
53.0,2020-03-09,11,DF,0
32.0,2020-03-09,11,ES,0
31.0,2020-03-09,11,MG,0
35.0,2020-03-09,11,SP,0
27.0,2020-03-10,11,AL,0
29.0,2020-03-10,11,BA,0
53.0,2020-03-10,11,DF,0
32.0,2020-03-10,11,ES,0
31.0,2020-03-10,11,MG,0
43.0,2020-03-10,11,RS,1
35.0,2020-03-10,11,SP,3
29.0,2020-03-11,11,BA,1
53.0,2020-03-11,11,DF,1
32.0,2020-03-11,11,ES,0
31.0,2020-03-11,11,MG,0
43.0,2020-03-11,11,RS,1
35.0,2020-03-11,11,SP,11
27.0,2020-03-12,11,AL,0
29.0,2020-03-12,11,BA,0
53.0,2020-03-12,11,DF,0
32.0,2020-03-12,11,ES,1
52.0,2020-03-12,11,GO,3
31.0,2020-03-12,11,MG,1
25.0,2020-03-12,11,PB,0
26.0,2020-03-12,11,PE,2
41.0,2020-03-12,11,PR,6
33.0,2020-03-12,11,RJ,12
24.0,2020-03-12,11,RN,1
43.0,2020-03-12,11,RS,2
42.0,2020-03-12,11,SC,2
35.0,2020-03-12,11,SP,16
27.0,2020-03-13,11,AL,0
13.0,2020-03-13,11,AM,2
29.0,2020-03-13,11,BA,4
53.0,2020-03-13,11,DF,0
32.0,2020-03-13,11,ES,0
52.0,2020-03-13,11,GO,0
31.0,2020-03-13,11,MG,0
25.0,2020-03-13,11,PB,0
26.0,2020-03-13,11,PE,0
41.0,2020-03-13,11,PR,0
24.0,2020-03-13,11,RN,0
43.0,2020-03-13,11,RS,0
42.0,2020-03-13,11,SC,1
53.0,2020-03-14,11,DF,6
32.0,2020-03-14,11,ES,2
52.0,2020-03-14,11,GO,1
31.0,2020-03-14,11,MG,2
50.0,2020-03-14,11,MS,2
25.0,2020-03-14,11,PB,0
26.0,2020-03-14,11,PE,5
42.0,2020-03-14,11,SC,2
28.0,2020-03-14,11,SE,1
35.0,2020-03-14,11,SP,19
29.0,2020-03-15,12,BA,2
53.0,2020-03-15,12,DF,6
32.0,2020-03-15,12,ES,0
52.0,2020-03-15,12,GO,0
50.0,2020-03-15,12,MS,0
25.0,2020-03-15,12,PB,0
26.0,2020-03-15,12,PE,1
33.0,2020-03-15,12,RJ,9
42.0,2020-03-15,12,SC,1
27.0,2020-03-16,12,AL,0
29.0,2020-03-16,12,BA,1
23.0,2020-03-16,12,CE,9
53.0,2020-03-16,12,DF,5
32.0,2020-03-16,12,ES,4
52.0,2020-03-16,12,GO,5
31.0,2020-03-16,12,MG,2
50.0,2020-03-16,12,MS,2
25.0,2020-03-16,12,PB,0
26.0,2020-03-16,12,PE,0
41.0,2020-03-16,12,PR,0
33.0,2020-03-16,12,RJ,1
