code_muni,casos,mortes
2706208,1,0
2930501,22,0
2102507,73,0
3115359,6,0
1505700,20,0
2612307,2,0
2208007,45,-1
4112207,0,0
3305505,51,4
2408805,2,0
4209607,0,0
4212106,33,1
3515103,32,3
3526704,9,0
3555000,5,0
2906899,1,0
1200427,7,1
1200450,39,1
2911808,0,0
2306603,80,1
5218391,0,0
3107208,2,0
2604304,1,0
3303500,564,49
2408607,0,0
2409308,3,1
1400506,15,0
4307807,56,0
4210001,0,0
3516200,7,0
3524402,58,2
1710706,20,0
1715002,1,0
1717800,0,0
1101435,0,0
2707800,3,0
5204607,0,0
2103000,55,0
2105963,5,0
3107406,-18,0
3155306,3,2
5006903,0,0
2513000,4,0
4322707,1,0
4201802,0,0
4205175,45,1
4207809,4,0
4211058,1,0
3521408,6,0
3530508,25,0
3544707,0,0
3551405,0,0
1702000,0,1
1707652,1,0
2709400,9,0
1302801,5,0
1600600,156,5
2902658,0,0
2914653,2,0
2303956,25,0
2106359,1,0
2110658,0,0
1501451,7,1
2604601,37,4
2403707,0,0
4302808,9,1
4307708,11,1
4318309,22,1
4212809,12,0
4208104,0,1
3506300,0,0
3147808,5,0
4120408,1,0
2921450,0,0
3200102,25,0
2111052,9,0
3119401,43,0
3121803,0,0
3165305,0,0
5105150,2,0
1502004,30,1
1506708,6,0
2516003,40,0
4214607,0,0
4218400,0,0
2806909,1,0
2807600,29,0
3503208,50,0
3522604,17,0
1703800,7,0
2923050,2,0
2932101,0,0
5207402,1,0
2102903,62,3
2104701,7,0
2106102,0,0
2109007,29,0
3155702,12,0
5106224,13,0
2202059,0,0
4105508,30,0
4113304,1,0
2400604,0,0
2805000,0,0
3500808,0,0
4126108,2,0
2700904,2,0
1600105,39,2
2313559,10,3
2106326,153,0
2107704,8,0
2109106,42,1
3106200,385,7
5002159,0,0
2500403,23,0
2516607,2,0
2201804,2,0
2203354,17,0
4111506,4,0
4113502,0,0
2412005,145,12
1100023,102,1
1100254,2,0
4211900,27,0
4215752,0,0
4218608,1,0
3516606,0,0
3520509,31,6
3554953,1,0
3527900,1,0
2916104,19,1
2304350,37,0
5201405,143,0
5210604,0,0
2107209,5,0
3136702,84,3
5006200,2,0
2207959,0,0
4117503,1,0
4119152,30,0
2407401,0,0
4303103,31,0
4322905,0,0
4219853,0,0
1701051,0,0
1711100,0,0
1713304,4,0
1301506,0,0
2707909,25,1
5105101,4,1
2612471,0,0
2210904,0,0
4127304,3,1
4128401,5,0
4301107,2,0
4209854,2,0
3525300,30,1
3545159,3,1
3548807,137,7
2502409,1,0
2702900,0,0
1302900,148,3
1303957,36,1
2927002,6,0
2301901,24,1
2303907,57,1
3102605,3,0
3135407,0,0
5007802,0,0
5104807,12,0
2510600,0,0
2605608,1,0
2612455,1,0
2211001,540,36
4312443,1,0
3506003,39,3
3518503,2,0
3519907,0,0
3500501,2,0
2913002,0,0
2924009,9,0
2313252,0,0
3202108,7,1
5213103,9,0
3101631,1,0
3106705,47,1
3109105,1,0
